DATAFLOW;LAST UPDATE;freq;nrg_bal;siec;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2008;9087083;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2009;5627639;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2010;2038472;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2011;645556;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2012;560000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2013;101111;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2014;435556;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2015;210000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2016;645556;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2017;43758;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2018;387714;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2019;48004;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2020;97230;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2021;49708;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;FR;2022;66858;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2000;1016161;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2001;659453;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2002;1031111;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2003;1329167;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2004;1965556;
