DATAFLOW,LAST UPDATE,freq,product,currency,unit,indic_en,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2013,0.092,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2014,0.0886,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2015,0.0842,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2016,0.0793,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2017,0.0767,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2018,0.0779,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2019,0.0842,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2020,0.0817,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2021,0.0859,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2022,0.1604,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2011,0.0722,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2012,0.0809,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2013,0.0781,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2014,0.0765,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2015,0.0776,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2016,0.0714,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2017,0.0733,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2018,0.0736,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2019,0.0812,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2020,0.0847,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2021,0.0850,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,FR,2022,0.1203,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2011,0.1145,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2012,0.1193,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2013,0.1122,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2014,0.108,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2015,0.0943,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2016,0.0841,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2017,0.0829,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2018,0.0892,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2019,0.0952,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2020,0.0856,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2021,0.0939,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,IT,2022,0.2354,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2011,0.0903,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2012,0.105,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2013,0.1015,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2014,0.1029,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2015,0.0989,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2016,0.0943,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2017,0.0835,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2018,0.0781,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2019,0.0869,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2020,0.0794,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2021,0.0755,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,PT,2022,0.1351,
