DATAFLOW;LAST UPDATE;freq;product;currency;unit;indic_en;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2020;74.751;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2021;61.621;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2022;190.023;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2011;88.208;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2012;97.016;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2013;106.807;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2014;100.147;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2015;91.682;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2016;76.545;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2017;71.793;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2018;73.928;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2019;78.801;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2020;69.139;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2021;66.212;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;EU27_2020;2022;163.842;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2011;9.86;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2012;10.51;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2013;11.03;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2014;10.36;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2015;9.58;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2016;7.92;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2017;76.892;
